127.0.0.1 - - [21/May/2019:00:16:34 -0300] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [21/May/2019:00:16:36 -0300] "GET /03-JSF/ HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/May/2019:00:16:48 -0300] "GET /02-oit/rest/iot/ HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:16:51 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:16:52 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:16:52 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:16:52 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [21/May/2019:00:16:52 -0300] "GET /03-JSF/faces/javax.faces.resource/bootstrap.min.css;jsessionid=1A4DD5F5B0C58C0484EBF9222AA1C1A2?ln=css HTTP/1.1" 200 141084
0:0:0:0:0:0:0:1 - - [21/May/2019:00:18:37 -0300] "POST /02-oit/rest/iot HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [21/May/2019:00:21:59 -0300] "POST /02-oit/rest/iot HTTP/1.1" 200 8
127.0.0.1 - - [21/May/2019:00:28:08 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:08 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:08 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:28:08 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [21/May/2019:00:28:08 -0300] "GET /03-JSF/faces/javax.faces.resource/bootstrap.min.css?ln=css HTTP/1.1" 200 141084
127.0.0.1 - - [21/May/2019:00:28:29 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:29 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:29 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:28:29 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:28:31 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:28:31 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3654
0:0:0:0:0:0:0:1 - - [21/May/2019:00:29:16 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3961
0:0:0:0:0:0:0:1 - - [21/May/2019:00:29:17 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3961
0:0:0:0:0:0:0:1 - - [21/May/2019:00:29:17 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3961
0:0:0:0:0:0:0:1 - - [21/May/2019:00:29:18 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3961
0:0:0:0:0:0:0:1 - - [21/May/2019:00:29:22 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3961
127.0.0.1 - - [21/May/2019:00:30:06 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:06 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:06 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:30:06 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1124
127.0.0.1 - - [21/May/2019:00:30:37 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:37 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:37 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:30:37 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1119
127.0.0.1 - - [21/May/2019:00:30:40 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:40 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:40 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:40 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:30:40 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
